_runtime,_timestamp,train/epsilon,_step,train/loss,train/episode,episode/goal_reward,episode/clipped_reward,episode/action_all,train/learning_rate,episode/tracking_reward,train/grad_norm,episode/actions_up,episode/actions_neutral,episode/actions_down,episode/total_reward,train/buffer_size,run_id,run_name,group
83435.333568981,1788116785.390405,0.05,3313016.0,0.006249508820474148,1294,,,,0.0003,,0.067148846780427,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
83542.457149103,1788116892.5088866,0.05,3317284.0,0.004933065734803677,1294,,,,0.0003,,0.06118185186191692,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
83925.928761511,1788117275.9814305,0.05,3332532.0,0.0098065584897995,1299,,,,0.0003,,0.07683747503263688,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
84256.972851249,1788117607.0372546,0.05,3345616.0,0.0062076132744550705,1304,,,,0.0003,,0.06475262157440063,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
85138.88405024,1788118488.9411805,0.05,3380524.0,0.00722435861825943,1317,,,,0.0003,,0.07576834759572411,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
85167.80990637,1788118517.8608763,0.05,3381696.0,0.004644284024834633,1317,,,,0.0003,,0.05628391532954904,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
87128.703111108,1788120478.7643704,0.05,3459456.0,0.017744846642017365,1345,,,,0.0003,,0.11475386508063423,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
88393.4471675,1788121743.50801,0.05,3509692.0,0.008291253820061684,1363,,,,0.0003,,0.0773948969680407,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
88421.788877956,1788121771.8488464,0.05,3510820.0,0.005504930391907692,1363,,,,0.0003,,0.10444768996796695,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
88874.534780664,1788122224.5910585,0.05,3528700.0,0.005789107643067837,1369,,,,0.0003,,0.053004951645235845,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
89076.562706279,1788122426.6500843,0.05,3536720.0,0.0077651552855968475,1372,,,,0.0003,,0.09932753204400864,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
89730.822089447,1788123080.8808522,0.05,3562604.0,0.007300225086510181,1383,,,,0.0003,,0.07118432064000173,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
89847.264676006,1788123197.322736,0.05,3567200.0,0.005421443842351437,1385,,,,0.0003,,0.07945961005983139,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
90903.840083883,1788124253.8986707,0.05,3609368.0,0.004528462421149015,1400,,,,0.0003,,0.051989199121950026,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
91000.522668515,1788124350.5741677,0.05,3613204.0,0.0053653414361178875,1401,,,,0.0003,,0.05202726036042646,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
91981.850008146,1788125331.9045453,0.05,3651976.0,0.009825922548770905,1415,,,,0.0003,,0.07381318748457806,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
92591.71780984,1788125941.7564187,0.05,3676236.0,0.0065622697584331036,1424,,,,0.0003,,0.05247839516687125,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
92824.817183682,1788126174.8746798,0.05,3685532.0,0.007600929122418165,1428,,,,0.0003,,0.0827472610783141,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
93003.025629242,1788126353.087474,0.05,3692580.0,0.005490874405950308,1431,,,,0.0003,,0.05229380895383793,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
93294.650729503,1788126644.7035875,0.05,3704228.0,0.008283752016723156,1436,,,,0.0003,,0.0896979395882786,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
93458.574761335,1788126808.6332288,0.05,3710740.0,0.009026633575558662,1437,,,,0.0003,,0.0921510394853056,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
94288.583830586,1788127638.653023,0.05,3743796.0,0.0066786278039216995,1450,,,,0.0003,,0.066115189040484,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
94332.117009725,1788127682.1421819,0.05,3745492.0,0.015922103077173233,1450,,,,0.0003,,0.11807933119745362,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
94750.595150967,1788128100.6529214,0.05,3762124.0,0.007685345131903887,1456,,,,0.0003,,0.09424093235940495,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
97407.056422504,1788130757.1153,0.05,3867624.0,0.008097234182059765,1496,,,,0.0003,,0.07566011743751846,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
97458.929366224,1788130808.993713,0.05,3869700.0,0.009083669632673264,1497,,,,0.0003,,0.09834359884647098,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
97690.322418666,1788131040.3781908,0.05,3878808.0,0.009062035009264946,1500,,,,0.0003,,0.07372068201440615,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
99287.206660991,1788132637.2229567,0.05,3942100.0,0.006485659163445234,1525,,,,0.0003,,0.05827625664232487,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
101090.739261647,1788134440.7892485,0.05,4013460.0,0.00882122665643692,1553,,,,0.0003,,0.08346822127010502,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
101468.429364202,1788134818.488409,0.05,4028456.0,0.010346347466111183,1557,,,,0.0003,,0.11920754170839483,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
102416.470231531,1788135766.5278788,0.05,4066168.0,0.010937712155282497,1574,,,,0.0003,,0.058571468278158983,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
102879.935081093,1788136229.9842224,0.05,4084564.0,0.01022117305546999,1579,,,,0.0003,,0.12086385941449755,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
103275.784031609,1788136625.833584,0.05,4100264.0,0.012481318786740303,1586,,,,0.0003,,0.09693147144673178,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
103487.930526864,1788136837.9968944,0.05,4108640.0,0.009423639625310898,1588,,,,0.0003,,0.09568727201538173,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
103716.367501533,1788137066.4345725,0.05,4117668.0,0.007469365373253822,1591,,,,0.0003,,0.10696601022169946,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
104132.292354523,1788137482.352507,0.05,4134188.0,0.01753379963338375,1597,,,,0.0003,,0.13834618054303324,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
104268.095806545,1788137618.1576202,0.05,4139576.0,0.00584873603656888,1599,,,,0.0003,,0.06933606967509343,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
104918.750782677,1788138268.8062096,0.05,4165420.0,0.012142923660576344,1608,,,,0.0003,,0.0894617170343217,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
105604.509009823,1788138954.5225499,0.05,4192608.0,0.005728748627007008,1618,,,,0.0003,,0.06204586975997067,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
106578.214103468,1788139928.2707765,0.05,4231284.0,0.011411162093281746,1631,,,,0.0003,,0.08700651935120642,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
107061.619371362,1788140411.689754,0.05,4250500.0,0.005391648970544338,1637,,,,0.0003,,0.05307871229560072,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
107309.740706339,1788140659.8202589,0.05,4260380.0,0.009971501305699348,1641,,,,0.0003,,0.0726875956627006,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
109331.452185664,1788142681.5097573,0.05,4340776.0,0.008351180702447891,1670,,,,0.0003,,0.07687183397660596,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
111811.329452519,1788145161.4043386,0.05,4439096.0,0.00876583345234394,1707,,,,0.0003,,0.08655584820275496,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
112723.878093994,1788146073.939621,0.05,4475384.0,0.00924796424806118,1720,,,,0.0003,,0.07629574478868979,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
112834.904994127,1788146184.9789443,0.05,4479732.0,0.008918797597289085,1723,,,,0.0003,,0.07347626982499934,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
113714.21179629,1788147064.270671,0.05,4514592.0,0.0150455292314291,1735,,,,0.0003,,0.12821293637433417,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
114387.41181994,1788147737.4176378,0.05,4541272.0,0.011682944372296333,1745,,,,0.0003,,0.149772121690565,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
115474.944766331,1788148825.0063071,0.05,4584460.0,0.00896063819527626,1763,,,,0.0003,,0.07183180393738162,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
115964.596601091,1788149314.6527045,0.05,4603908.0,0.0058930404484272,1771,,,,0.0003,,0.06515212526118924,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
116057.563562571,1788149407.6305172,0.05,4607640.0,0.006525490898638964,1771,,,,0.0003,,0.059780738748186776,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
116160.290379226,1788149510.3413262,0.05,4611704.0,0.012339245527982712,1772,,,,0.0003,,0.09558018555284249,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
116535.195300243,1788149885.2518492,0.05,4626520.0,0.011504437774419785,1780,,,,0.0003,,0.1138574081668884,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
119200.312911233,1788152550.3622756,0.05,4732248.0,0.00802590325474739,1821,,,,0.0003,,0.0760174494322309,,,,,30000,zah62sdt,sweet-sweep-2,baseline_full
